Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:29rQJydAlO0uMyWvRIZxQg,"That's The Way Love Goes","Janet","Janet Jackson",1993-05-18,265106,68,false,ei6gacdifk3mm5v3wohfimd5j,2026-03-18T23:23:11Z,"new jack swing","Virgin Records",0.703,0.7,5,-6.789,1,0.0693,0.302,0.471,0.0718,0.582,97.675,4
spotify:track:6MdqqkQ8sSC0WB4i8PyRuQ,"No Diggity","Another Level","Blackstreet;Dr. Dre;Queen Pen",1996-09-09,304600,80,false,ei6gacdifk3mm5v3wohfimd5j,2026-03-18T23:23:27Z,"new jack swing,old school hiphop,g funk,gangsterrap,west coast hiphop,hiphop,rap","Interscope",0.867,0.646,1,-4.674,0,0.288,0.303,0,0.279,0.67,88.634,4
spotify:track:4QTO9eLRONw0rzOVWU4uB4,"Are You That Somebody?","I Care 4 U","Aaliyah",2002-12-10,265666,70,false,ei6gacdifk3mm5v3wohfimd5j,2026-03-18T23:23:33Z,"r&b","Blackground Records",0.85,0.657,9,-7.078,0,0.166,0.14,0.0192,0.0939,0.843,137.972,4
spotify:track:45wneA2j0Z0WMnYNDO6Ad0,"Back & Forth","Age Ain't Nothing But A Number","Aaliyah",1994-05-22,231093,62,false,ei6gacdifk3mm5v3wohfimd5j,2026-03-18T23:23:43Z,"r&b","Jive",0.706,0.727,5,-8.06,1,0.0317,0.0698,0.00000531,0.115,0.903,92.938,4
spotify:track:3XG801WWhqC753dekEBkMt,"Real Love","What's The 411?","Mary J. Blige",1992-01-01,269973,64,false,ei6gacdifk3mm5v3wohfimd5j,2026-03-18T23:23:52Z,"r&b","Uptown",0.769,0.781,0,-5.472,1,0.0797,0.12,0.00037,0.0506,0.826,95.021,4
spotify:track:1aWV3uY3SIEZVbmv45oFWS,"Creep","Crazysexycool","TLC",1994-11-15,268533,68,false,ei6gacdifk3mm5v3wohfimd5j,2026-03-18T23:23:59Z,"","Arista/LaFace Records",0.811,0.458,5,-9.688,0,0.0402,0.0193,0.00000141,0.0526,0.797,92.94,4
spotify:track:1KGi9sZVMeszgZOWivFpxs,"No Scrubs","Fanmail","TLC",1999-02-23,214400,85,false,ei6gacdifk3mm5v3wohfimd5j,2026-03-18T23:24:03Z,"","Arista/LaFace Records",0.743,0.675,8,-4.267,0,0.0953,0.0251,0.000717,0.0685,0.59,92.909,4
spotify:track:47TqCCnEliDp8NRDyIQoQq,"You Make Me Wanna...","My Way","USHER",1997-09-16,219120,69,false,ei6gacdifk3mm5v3wohfimd5j,2026-03-18T23:24:19Z,"r&b","Arista/LaFace Records",0.761,0.639,5,-7.577,0,0.0539,0.0359,0,0.0945,0.922,164.088,4
spotify:track:5PIveStlGgjVL54GpVcqxr,"My Way","My Way","USHER",1997-09-16,214853,57,false,ei6gacdifk3mm5v3wohfimd5j,2026-03-18T23:24:24Z,"r&b","Arista/LaFace Records",0.815,0.521,5,-8.178,0,0.136,0.0105,0,0.0509,0.887,90.079,4
spotify:track:6N9uyMZf9pbNOuomveWscp,"I Wanna Be Down","Brandy","Brandy",1994,291666,66,false,ei6gacdifk3mm5v3wohfimd5j,2026-03-18T23:24:32Z,"r&b","Rhino Atlantic",0.703,0.469,11,-6.515,0,0.0415,0.177,0,0.726,0.661,86.038,4
spotify:track:6sHsXIJoEN5JpdkGMQDJxt,"The Boy Is Mine","Never Say Never","Brandy;Monica",1998-05-29,294786,76,false,ei6gacdifk3mm5v3wohfimd5j,2026-03-18T23:25:03Z,"r&b","Atlantic Records",0.704,0.707,1,-6.537,0,0.0391,0.539,0.00106,0.318,0.761,93.145,4
spotify:track:3UD1XZiA0iP29KI3FuK5Xw,"Right Here","It's About Time","SWV",1992-10-27,278173,38,false,ei6gacdifk3mm5v3wohfimd5j,2026-03-18T23:25:11Z,"new jack swing,r&b","RCA Records Label",0.697,0.854,11,-9.513,0,0.0797,0.102,0.0125,0.07,0.669,105.484,4
spotify:track:2vG1yrWSMiL6egg6w4e9ma,"Free Your Mind","Funky Divas","En Vogue",1992-03-24,293105,61,false,ei6gacdifk3mm5v3wohfimd5j,2026-03-18T23:25:19Z,"new jack swing","Rhino Atlantic",0.765,0.831,7,-6.522,1,0.0565,0.0894,0,0.393,0.809,100.026,4
