"Track URI","Track Name","Album Name","Artist Name(s)","Release Date","Duration (ms)","Popularity","Explicit","Added By","Added At","Genres","Record Label","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:7ynCvGoSYmyMyEh3F9p0mX","By Yourself (feat. Bryson Tiller, Jhené Aiko & Mustard) - Remix","By Yourself (feat. Bryson Tiller, Jhené Aiko & Mustard) [Remix]","Ty Dolla $ign;Bryson Tiller;Jhené Aiko;Mustard",2021-03-19,184722,39,TRUE,"gdmg59uun5noyjwh28hpotmvj",2023-09-22 18:59:26,"trap soul,r&b","Atlantic Records",0.753,0.524,10,-6.291,0,0.0461,0.055,0,0.188,0.199,103.965,4
"spotify:track:2AvdB48FWJJMKzKeWgPt1R","Look My Way","Look My Way","Kevin Ross",2023-01-27,174000,38,FALSE,"gdmg59uun5noyjwh28hpotmvj",2023-09-22 18:59:26,"neo soul","Art Society Music Group (AMG) / EMPIRE",0.715,0.839,1,-4.334,0,0.162,0.0863,0,0.0764,0.565,80.036,4
"spotify:track:3xRH6FPVtheDyNla3T1FE7","Hrs and Hrs","Public Displays Of Affection","Muni Long",2021-11-19,204316,0,TRUE,"gdmg59uun5noyjwh28hpotmvj",2023-09-22 18:59:26,NA,"Supergiant Records",0.511,0.525,8,-4.595,0,0.183,0.604,0,0.111,0.661,139.885,3
"spotify:track:6tZmrNnFao9ofNviYqJwOH","UP! (feat. Chris Brown, Pleasure P) (R&B Remix Mix)","UP! (R&B Remix) (feat. Chris Brown & Pleasure P) - Single","J. Valentine",2013-01-29,201142,58,FALSE,"gdmg59uun5noyjwh28hpotmvj",2023-09-22 18:59:26,"hyphy","CityBoyz Muzik",0.777,0.454,1,-10.39,1,0.131,0.409,0,0.616,0.498,96.922,4
"spotify:track:7szuecWAPwGoV1e5vGu8tl","In Your Eyes","After Hours","The Weeknd",2020-03-20,237520,77,TRUE,"gdmg59uun5noyjwh28hpotmvj",2023-09-22 18:59:26,NA,"Republic Records",0.667,0.719,7,-5.371,0,0.0346,0.0028,7.92e-05,0.0736,0.718,100.019,4
"spotify:track:6TFGUXmdBVux66s5BgEvd0","Entanglements","Entanglements","August Alsina;Rick Ross",2020-07-19,188472,44,TRUE,"gdmg59uun5noyjwh28hpotmvj",2023-09-22 18:59:26,"r&b,dirty south rap","Shake the World / EMPIRE",0.59,0.772,1,-3.599,1,0.172,0.264,0,0.34,0.748,155.852,4
"spotify:track:0ZHLqpysyyJil6TlEJAZY9","Y.D.L.R.","PLAYBOY","Tory Lanez",2021-03-05,146000,68,TRUE,"gdmg59uun5noyjwh28hpotmvj",2023-09-22 18:59:26,NA,"One Umbrella Records",0.509,0.435,4,-10.231,0,0.0812,0.324,2.28e-06,0.0989,0.222,75.2,4
"spotify:track:3FYDQxyn9OHNAE6CG0iaN2","La Perla","La Perla","Eric Bellinger",2024-01-01,162253,0,FALSE,"gdmg59uun5noyjwh28hpotmvj",2024-01-04 04:58:14,NA,"All Wins Ent.",0.672,0.867,1,-4.417,0,0.125,0.00911,0,0.0864,0.734,141.89,4
"spotify:track:7EqKpYaxDbPrzSCIdAAUDF","Love You Too (feat. Kehlani)","Love You Too (feat. Kehlani)","Lil Durk;Kehlani",2021-02-04,178604,0,TRUE,"gdmg59uun5noyjwh28hpotmvj",2023-09-22 18:59:26,"chicago drill,drill","Alamo (Geffen Records)",0.384,0.82,5,-3.928,0,0.201,0.397,0,0.114,0.441,90.712,4
"spotify:track:6syPVEsTBgBnBORZAsNQnH","BAD HABITS","who's loving you?","Ambré",2023-06-16,185949,31,FALSE,"gdmg59uun5noyjwh28hpotmvj",2023-09-22 18:59:26,"alternative r&b","Roc Nation Records, LLC",0.642,0.556,1,-10.053,1,0.126,0.373,0.396,0.3,0.155,119.605,4
